Overall Qual,Exter Qual,Kitchen Qual,Bsmt Qual,Gr Liv Area,Total Bsmt SF,1st Flr SF,Lot Area,Lot Frontage,Neighborhood,MS Zoning,Bldg Type,House Style,Year Built,Year Remod/Add,Full Bath,TotRms AbvGrd,Garage Cars,Garage Area,Fireplaces,Central Air,BsmtFin SF 1,Wood Deck SF,Open Porch SF,Mas Vnr Area,SalePrice
6,TA,TA,TA,1656,1080.0,1656,31770,141.0,NAmes,RL,1Fam,1Story,1960,1960,1,7,2.0,528.0,2,Y,639.0,210,62,112.0,215000
5,TA,TA,TA,896,882.0,896,11622,80.0,NAmes,RH,1Fam,1Story,1961,1961,1,5,1.0,730.0,0,Y,468.0,140,0,0.0,105000
6,TA,Gd,TA,1329,1329.0,1329,14267,81.0,NAmes,RL,1Fam,1Story,1958,1958,1,6,1.0,312.0,0,Y,923.0,393,36,108.0,172000
7,Gd,Ex,TA,2110,2110.0,2110,11160,93.0,NAmes,RL,1Fam,1Story,1968,1968,2,8,2.0,522.0,2,Y,1065.0,0,0,0.0,244000
5,TA,TA,Gd,1629,928.0,928,13830,74.0,Gilbert,RL,1Fam,2Story,1997,1998,2,6,2.0,482.0,1,Y,791.0,212,34,0.0,189900
6,TA,Gd,TA,1604,926.0,926,9978,78.0,Gilbert,RL,1Fam,2Story,1998,1998,2,7,2.0,470.0,1,Y,602.0,360,36,20.0,195500
8,Gd,Gd,Gd,1338,1338.0,1338,4920,41.0,StoneBr,RL,TwnhsE,1Story,2001,2001,2,6,2.0,582.0,0,Y,616.0,0,0,0.0,213500
8,Gd,Gd,Gd,1280,1280.0,1280,5005,43.0,StoneBr,RL,TwnhsE,1Story,1992,1992,2,5,2.0,506.0,0,Y,263.0,0,82,0.0,191500
8,Gd,Gd,Gd,1616,1595.0,1616,5389,39.0,StoneBr,RL,TwnhsE,1Story,1995,1996,2,5,2.0,608.0,1,Y,1180.0,237,152,0.0,236500
7,TA,Gd,TA,1804,994.0,1028,7500,60.0,Gilbert,RL,1Fam,2Story,1999,1999,2,7,2.0,442.0,1,Y,0.0,140,60,0.0,189000
6,TA,TA,Gd,1655,763.0,763,10000,75.0,Gilbert,RL,1Fam,2Story,1993,1994,2,7,2.0,440.0,1,Y,0.0,157,84,0.0,175900
6,TA,TA,Gd,1187,1168.0,1187,7980,,Gilbert,RL,1Fam,1Story,1992,2007,2,6,2.0,420.0,0,Y,935.0,483,21,0.0,185000
6,TA,TA,Gd,1465,789.0,789,8402,63.0,Gilbert,RL,1Fam,2Story,1998,1998,2,7,2.0,393.0,1,Y,0.0,0,75,0.0,180400
7,TA,Gd,Gd,1341,1300.0,1341,10176,85.0,Gilbert,RL,1Fam,1Story,1990,1990,1,5,2.0,506.0,1,Y,637.0,192,0,0.0,171500
8,Gd,Gd,Gd,1502,1488.0,1502,6820,,StoneBr,RL,TwnhsE,1Story,1985,1985,1,4,2.0,528.0,0,Y,368.0,0,54,0.0,212000
8,Ex,Ex,Gd,3279,1650.0,1690,53504,47.0,StoneBr,RL,1Fam,2Story,2003,2003,3,12,3.0,841.0,1,Y,1416.0,503,36,603.0,538000
8,Gd,TA,Gd,1752,559.0,1080,12134,152.0,Gilbert,RL,1Fam,1.5Fin,1988,2005,2,8,2.0,492.0,0,Y,427.0,325,12,0.0,164000
9,Gd,Ex,Ex,1856,1856.0,1856,11394,88.0,StoneBr,RL,1Fam,1Story,2010,2010,1,8,3.0,834.0,1,Y,1445.0,113,0,350.0,394432
4,TA,TA,TA,864,864.0,864,19138,140.0,Gilbert,RL,1Fam,1Story,1951,1951,1,4,2.0,400.0,0,Y,120.0,0,0,0.0,141000
6,TA,TA,Gd,2073,1542.0,2073,13175,85.0,NWAmes,RL,1Fam,1Story,1978,1988,2,7,2.0,500.0,2,Y,790.0,349,0,119.0,210000
6,TA,TA,Gd,1844,1844.0,1844,11751,105.0,NWAmes,RL,1Fam,1Story,1977,1977,2,7,2.0,546.0,1,Y,705.0,0,122,480.0,190000
7,TA,Gd,Gd,1173,1053.0,1173,10625,85.0,NWAmes,RL,1Fam,SFoyer,1974,1974,2,6,2.0,528.0,2,Y,885.0,0,120,81.0,170000
7,Gd,Gd,Gd,1674,814.0,814,7500,,Somerst,FV,1Fam,2Story,2000,2000,2,7,2.0,663.0,0,Y,533.0,0,96,0.0,216000
6,TA,TA,TA,1004,1004.0,1004,11241,,NAmes,RL,1Fam,1Story,1970,1970,1,5,2.0,480.0,1,Y,578.0,0,0,180.0,149000
5,TA,TA,TA,1078,1078.0,1078,12537,,NAmes,RL,1Fam,1Story,1971,2008,1,6,2.0,500.0,1,Y,734.0,0,0,0.0,149900
5,TA,TA,TA,1056,1056.0,1056,8450,65.0,NAmes,RL,1Fam,1Story,1968,1968,1,6,1.0,304.0,1,Y,775.0,0,85,0.0,142000
4,TA,TA,TA,882,882.0,882,8400,70.0,NAmes,RL,1Fam,1Story,1970,1970,1,4,2.0,525.0,0,Y,804.0,240,0,0.0,126000
4,TA,TA,TA,864,864.0,864,10500,70.0,NAmes,RL,1Fam,1Story,1971,1971,1,5,0.0,0.0,1,Y,432.0,0,0,0.0,115000
7,Gd,Gd,Gd,1337,1405.0,1337,5858,26.0,NAmes,RH,TwnhsE,1Story,1999,1999,2,5,2.0,511.0,1,Y,1051.0,203,68,0.0,184000
